number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,high_winds,pedestrian_in_carriageway,rushhour,nighttime,weekend
2,3+,B,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Female,6 - 10,0,Car rear seat passenger,False,False,False,True,True
2,3+,B,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Female,6 - 10,0,Car rear seat passenger,False,False,False,True,True
2,3+,B,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Female,6 - 10,0,Car rear seat passenger,False,False,False,True,True
2,3+,B,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Female,6 - 10,0,Car rear seat passenger,False,False,False,True,True
2,3+,B,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Female,6 - 10,0,Car rear seat passenger,False,False,False,True,True
2,3+,B,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Female,6 - 10,0,Car rear seat passenger,False,False,False,True,True
2,3+,B,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Female,6 - 10,0,Car rear seat passenger,False,False,False,True,True
2,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Female,26 - 35,0,Car driver,False,False,False,False,False
2,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Male,56 - 65,0,Large vehicle driver,False,False,False,True,False
2,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Male,46 - 55,0,Motorcycle rider,False,False,False,False,False
