accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2022,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,7,10,1,False,False
2022,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,7,10,1,False,False
2022,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,7,10,1,False,False
2023,2,1,A,Dual carriageway,30,Other,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,12,6,20,False,False
2019,2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Female,36 - 45,0,Front seat passenger,Car occupant,17,11,10,False,False
2019,2,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Female,36 - 45,0,Front seat passenger,Car occupant,17,11,10,False,False
2022,2,1,B,Dual carriageway,30,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,1,Not car passenger,Car occupant,9,9,23,False,False
2023,2,3,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,21,1,20,False,False
2023,2,3,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,21,1,20,False,False
2023,2,3,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,21,1,20,False,False
2019,4,1,A,Roundabout,30,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,10,11,12,False,False
2022,3,1,Unclassified,Single carriageway,20,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Motorcycle,10,5,16,False,False
2019,1,1,B,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Pedestrian,Male,0 - 5,0,Not car passenger,Pedestrian,15,6,12,False,True
2019,3,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,3,7,28,False,False
2022,2,1,B,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,Zebra,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Cyclist,6,10,11,False,False
2020,2,1,Unclassified,Single carriageway,30,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,12,7,6,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,15,7,1,False,False
2019,2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,9,6,20,False,False
2019,2,2,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,9,6,20,False,False
2019,1,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,66 - 75,1,Not car passenger,Car occupant,6,7,29,False,False
2021,2,1,B,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Cyclist,20,6,12,False,False
2023,1,1,B,Single carriageway,30,More than 4 arms (not roundabout),Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,36 - 45,0,Not car passenger,Pedestrian,3,3,18,False,True
2019,2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,13,2,23,False,False
2019,2,2,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,13,2,23,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,6 - 10,0,Not car passenger,Pedestrian,20,7,16,False,True
2019,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Motorcycle,18,10,5,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,36 - 45,0,Front seat passenger,Car occupant,13,1,16,False,False
2021,1,1,B,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,46 - 55,1,Not car passenger,Car occupant,6,11,19,False,False
2023,1,1,Unclassified,Single carriageway,30,Other,Unclassified,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Female,21 - 25,0,Not car passenger,Pedestrian,8,5,19,False,True
2022,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Female,11 - 15,0,Not car passenger,Pedestrian,8,7,18,False,True
2023,2,1,A,Single carriageway,50,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,8,2,6,False,False
2023,1,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Pedestrian,Male,56 - 65,0,Not car passenger,Pedestrian,12,1,10,False,True
2020,2,2,A,Single carriageway,60,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,6,6,25,False,False
2020,2,2,A,Single carriageway,60,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,6,6,25,False,False
2019,2,1,Unclassified,Single carriageway,20,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,11,3,18,False,False
2020,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,6 - 10,1,Not car passenger,Pedestrian,15,3,8,False,True
2022,2,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Motorcycle,10,4,27,False,False
2019,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,Over 75,1,Not car passenger,Pedestrian,11,11,30,False,True
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2019,2,4,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,20,12,11,False,False
2023,1,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,26 - 35,0,Not car passenger,Pedestrian,7,9,12,False,True
2021,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Cyclist,7,12,8,True,False
2023,3,4,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,18,11,23,False,False
2023,3,4,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,18,11,23,False,False
2023,3,4,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,18,11,23,False,False
2023,3,4,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,18,11,23,False,False
2020,2,1,A,Dual carriageway,40,T or staggered junction,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,1,Not car passenger,Car occupant,15,8,11,False,False
2022,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,36 - 45,0,Not car passenger,Pedestrian,20,6,28,False,True
2020,2,2,Unclassified,Single carriageway,20,T or staggered junction,A,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Car occupant,21,8,25,False,False
2020,2,2,Unclassified,Single carriageway,20,T or staggered junction,A,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Car occupant,21,8,25,False,False
2019,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,18,11,10,False,False
2021,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,66 - 75,0,Not car passenger,Pedestrian,9,10,13,False,False
2019,2,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Cyclist,13,2,14,False,False
2022,2,2,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Darkness - lights lit,Urban,Non-trunk,Passenger,Male,56 - 65,1,Front seat passenger,Car occupant,20,3,8,False,False
2022,2,2,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Darkness - lights lit,Urban,Non-trunk,Passenger,Male,56 - 65,1,Front seat passenger,Car occupant,20,3,8,False,False
2022,2,3,A,Single carriageway,40,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,19,9,23,False,False
2022,2,3,A,Single carriageway,40,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,19,9,23,False,False
2022,2,3,A,Single carriageway,40,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,19,9,23,False,False
2021,2,1,A,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Cyclist,19,6,22,False,False
2023,3,3,A,Roundabout,50,Other,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,14,9,8,False,False
2023,3,3,A,Roundabout,50,Other,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,14,9,8,False,False
2023,3,3,A,Roundabout,50,Other,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,14,9,8,False,False
2022,2,1,A,Roundabout,40,Roundabout,Motorway,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,13,10,4,False,False
2021,2,1,Unclassified,Single carriageway,60,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness,Rural,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,17,11,24,False,False
2019,2,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,26 - 35,0,Front seat passenger,Car occupant,16,3,27,False,False
2019,2,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,26 - 35,0,Front seat passenger,Car occupant,16,3,27,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Central refuge,Darkness,Urban,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Cyclist,16,12,3,False,False
2021,2,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,11,12,20,False,False
2021,2,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,11,12,20,False,False
2023,2,1,A,Single carriageway,40,Roundabout,A,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,18,12,11,False,False
2022,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,1,Not car passenger,Cyclist,12,8,17,False,False
2021,1,1,A,Roundabout,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Large Vehicle,1,7,28,False,False
2023,2,1,Unclassified,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Cyclist,7,8,11,False,False
2023,3,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,22,7,27,False,False
2021,2,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Motorcycle,15,2,11,False,False
2021,4,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,10,7,19,False,False
2019,2,2,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Male,6 - 10,0,Rear seat passenger,Car occupant,8,10,10,False,False
2019,2,2,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Male,6 - 10,0,Rear seat passenger,Car occupant,8,10,10,False,False
2020,2,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,66 - 75,0,Not car passenger,Mobility scooter rider,13,10,8,False,False
2023,1,1,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Cyclist,4,12,23,False,False
2022,2,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,16,4,13,False,False
2022,2,1,Unclassified,Roundabout,20,Roundabout,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Cyclist,20,11,1,False,False
2020,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Female,21 - 25,0,Not car passenger,Pedestrian,23,7,27,False,False
2019,3,7,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,1,Rear seat passenger,Car occupant,17,10,4,False,False
2019,3,7,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,1,Rear seat passenger,Car occupant,17,10,4,False,False
2019,3,7,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,1,Rear seat passenger,Car occupant,17,10,4,False,False
2019,3,7,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,1,Rear seat passenger,Car occupant,17,10,4,False,False
2019,3,7,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,1,Rear seat passenger,Car occupant,17,10,4,False,False
2019,3,7,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,1,Rear seat passenger,Car occupant,17,10,4,False,False
2019,3,7,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,66 - 75,1,Rear seat passenger,Car occupant,17,10,4,False,False
2023,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,46 - 55,0,Not car passenger,Pedestrian,14,3,8,False,True
2019,1,1,B,Single carriageway,40,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,11 - 15,0,Not car passenger,Pedestrian,19,10,17,False,True
2023,2,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,66 - 75,0,Not car passenger,Car occupant,22,9,16,False,False
2020,1,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Motorcycle,14,9,30,False,False
2023,1,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,11 - 15,0,Not car passenger,Pedestrian,16,9,2,False,True
2023,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Cyclist,7,7,19,False,False
2019,1,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,19,6,25,False,False
2023,1,3,B,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,1,3,11,False,False
2023,1,3,B,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,1,3,11,False,False
2023,1,3,B,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,1,3,11,False,False
2019,2,1,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,1,Not car passenger,Cyclist,8,6,3,False,False
2021,3,3,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,21 - 25,1,Not car passenger,Large Vehicle,11,10,25,False,False
2021,3,3,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,21 - 25,1,Not car passenger,Large Vehicle,11,10,25,False,False
2021,3,3,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,21 - 25,1,Not car passenger,Large Vehicle,11,10,25,False,False
2021,2,1,Unclassified,Single carriageway,30,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,1,Not car passenger,Cyclist,10,8,16,False,False
2022,2,1,B,Single carriageway,30,Crossroads,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Male,26 - 35,0,Rear seat passenger,Car occupant,8,9,21,False,False
2021,2,1,A,Single carriageway,60,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,9,10,4,False,False
2019,2,1,A,Dual carriageway,40,Crossroads,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Car occupant,15,12,29,False,False
2020,2,1,B,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Zebra,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,18,6,8,False,False
2021,2,1,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,0,Not car passenger,Motorcycle,16,8,20,False,False
2022,2,1,Unclassified,Single carriageway,20,T or staggered junction,Unclassified,Central refuge,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Cyclist,8,1,13,False,False
2021,5,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,15,10,10,False,False
2021,5,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,15,10,10,False,False
2020,2,1,A,Dual carriageway,40,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,8,9,10,False,False
2023,2,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Cyclist,15,2,8,False,False
2020,1,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,Central refuge,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,18,10,10,False,False
2021,3,3,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Car occupant,18,5,20,False,False
2021,3,3,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Car occupant,18,5,20,False,False
2021,3,3,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Car occupant,18,5,20,False,False
2021,2,1,A,Single carriageway,60,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Large Vehicle,8,4,9,False,False
